Edad	RangoEdad	Sexo	EstadoCivil	TipoLocalidad	Comuna	Zona	Estrato	TipoVivienda	TiempoEnMedellin	PersonasConLasQueVive	AfiliacionSalud	NivelEstudio	Estudia	ValoracionOportunidadesDeLaCiudadParaEstudiar	ValoracionInstitucionEnHabilidadesDelMundoLaboral	ImpactoProfesoresEnLaVida	Trabaja	PercepcionOfertaLaboral	GastoSemanalTransporte	GastoSemanalRumba	GastoSemanalObligacionesFamiliares	EdadALaQueTuvoPrimerHijo	EdadPrimeraRelacionSexual	ConsumoDrogas	ConsumoCigarrillo	ConsumoLicor	FrecuenciaEjercicio	FrecuenciaLectura	ParticipacionMarchas	ActividadesComunitarias	ParticipacionVoluntariados	ParticipacionGrupoJuvenil
18	18-21	Hombre	Soltero(a)	COMUNA	Popular	NORORIENTAL	Estrato 2	Alquilado	De 1 a 5 anos	3 personas	Subsidiado/ Sisben	Grado 9	Si	Muy favorable	Favorable	Favorable	No	Mala	6000	30000	0	No Aplica	16	No	No	Si	Siempre	Casi Siempre	No	No	No	No
24	22-26	Hombre	Soltero(a)	COMUNA	Popular	NORORIENTAL	Estrato 2	De tu propiedad	Siempre	3 personas	Subsidiado/ Sisben	Grado 6	No	Ni favorable/ Ni desfavorable	Desfavorable	Muy favorable	Si	Muy buena	0	0	0	No Aplica	14	No	Si	Si	Nunca	Nunca	No	No	No	No
18	18-21	Mujer	Soltero(a)	COMUNA	Popular	NORORIENTAL	Estrato 2	De tus padres/ hermanos	Mas de 10 anos	5 personas	Beneficiario	Tecnica incompleta o en curso	Si	Favorable	Ni favorable/ Ni desfavorable	Ni favorable/ Ni desfavorable	Si	Buena	0	0	25000	No Aplica	18	Si	No	Si	A veces	Nunca	No	No	No	Si
22	22-26	Mujer	Soltero(a)	COMUNA	Popular	NORORIENTAL	Estrato 2	De tus padres/ hermanos	Mas de 10 anos	7 personas	Beneficiario	Tecnica incompleta o en curso	No	Desfavorable	Desfavorable	Muy favorable	No	Mala	0	0	25000	17	16	No	No	Si	Nunca	Siempre	No	No	No	No
19	18-21	Hombre	Soltero(a)	COMUNA	Popular	NORORIENTAL	Estrato 2	De tus padres/ hermanos	Siempre	5 personas	Subsidiado/ Sisben	Grado 10	Si	Favorable	Favorable	Muy favorable	Nunca he trabajado	Buena	0	15000	0	No Aplica	14	No	No	Si	A veces	Casi Siempre	No	No	No	No
19	18-21	Mujer	Soltero(a)	COMUNA	Popular	NORORIENTAL	Estrato 1	De tus padres/ hermanos	Siempre	5 personas	Subsidiado/ Sisben	Tecnica Completa	No	Muy favorable	Ni favorable/ Ni desfavorable	Muy favorable	No	Muy buena	24000	0	0	19	16	No	No	Si	A veces	A veces	No	No	No	Si
15	14-17	Mujer	Soltero(a)	COMUNA	Popular	NORORIENTAL	Estrato 2	De tus padres/ hermanos	Siempre	3 personas	Subsidiado/ Sisben	Grado 8	Si	Muy favorable	Favorable	Favorable	Nunca he trabajado	Ni buena/ Ni mala	0	0	0	No Aplica	No Aplica	No	No	Si	A veces	A veces	No	Si	No	Si
19	18-21	Mujer	No eres casado(a) y vives en pareja hace menos de dos anos	COMUNA	Popular	NORORIENTAL	Estrato 2	Alquilado	De 1 a 5 anos	2 personas	Cotizante	Tecnica Completa	No	Desfavorable	Favorable	Favorable	Si	Buena	0	0	0	No Aplica	17	No	No	Si	A veces	Casi Siempre	No	No	No	No
18	18-21	Mujer	Soltero(a)	COMUNA	Popular	NORORIENTAL	Estrato 1	De tus padres/ hermanos	Siempre	5 personas	Subsidiado/ Sisben	Grado 9	Si	Favorable	Muy favorable	Favorable	Nunca he trabajado	Muy buena	30000	0	70000	No Aplica	No Aplica	No	No	Si	Nunca	Nunca	No	No	No	Si
19	18-21	Mujer	Soltero(a)	COMUNA	Popular	NORORIENTAL	Estrato 2	Alquilado	Menos de 1 ano	3 personas	Subsidiado/ Sisben	Grado 8	Si	Muy favorable	Muy favorable	Favorable	No	Buena	0	0	0	No Aplica	16	No	Si	Si	Nunca	Casi Siempre	No	No	No	No
20	18-21	Mujer	Soltero(a)	COMUNA	Popular	NORORIENTAL	Estrato 2	De tus padres/ hermanos	Siempre	6 personas	Subsidiado/ Sisben	Grado 11	No	Ni favorable/ Ni desfavorable	Favorable	Muy favorable	No	Muy Mala	10000	0	80000	19	16	No	No	Si	Nunca	Nunca	No	No	No	No
14	14-17	Mujer	Soltero(a)	COMUNA	Popular	NORORIENTAL	Estrato 2	Alquilado	Siempre	5 personas	Subsidiado/ Sisben	Grado 6	No	Favorable	Ni favorable/ Ni desfavorable	Favorable	Nunca he trabajado	Ni buena/ Ni mala	0	0	0	No Aplica	No Aplica	No	No	Si	Casi nunca	Nunca	No	No	No	No
